(511 x 1023) (1023 x 4094) (511 x 4094),'0.004232,'0.309872,'0.006151
(600 x 1023) (1023 x 4094) (600 x 4094),'0.004339,'0.323560,'0.007877
(700 x 1023) (1023 x 4094) (700 x 4094),'0.004574,'0.360939,'0.008992
(800 x 1023) (1023 x 4094) (800 x 4094),'0.004591,'0.378565,'0.010673
(511 x 1023) (1023 x 5000) (511 x 5000),'0.005123,'0.324994,'0.008267
(511 x 1023) (1023 x 6000) (511 x 6000),'0.006080,'0.371770,'0.009229
(511 x 1023) (1023 x 7000) (511 x 7000),'0.007114,'0.424642,'0.010844
(511 x 100) (100 x 4094) (511 x 4094),'0.000517,'0.013116,'0.006642
(511 x 500) (500 x 4094) (511 x 4094),'0.002231,'0.163658,'0.006544
(511 x 1000) (1000 x 4094) (511 x 4094),'0.004284,'0.291519,'0.006367
